255,29,60
170,28,50
202,27,32
118,21,32
169,20,22
205,40,60
195,33,75
221,22,29
186,14,59
189,18,36
45,41,34
16,14,13
52,49,42
6,6,8
46,45,41
37,37,35
5,7,24
52,55,49
17,19,17
66,69,63
255,111,0
206,52,36
179,169,50
255,118,58
243,144,0
120,29,6
255,81,0
254,100,62
231,124,52
255,78,36
255,183,27
255,203,0
253,186,46
194,176,90
166,142,40
103,89,21
196,185,15
230,172,59
255,238,0
207,183,37
0,100,37
36,71,0
235,231,0
0,247,0
198,191,37
21,84,32
169,185,98
68,81,0
0,121,102
13,95,49
67,150,182
15,54,255
27,255,255
48,72,112
0,36,255
29,133,181
70,156,190
35,47,77
20,136,164
58,117,212
223,224,219
201,202,194
176,175,171
204,203,199
180,179,174
159,156,151
172,169,164
185,185,180
178,176,161
155,148,138
97,68,114
104,67,111
73,25,104
66,43,54
37,29,68
86,70,105
58,44,101
163,132,181
72,43,107
95,49,163
